"token","token_length","is_numeric_token","token_type","numeric_value"
"policy",6,FALSE,"Character",NA
"paper",5,FALSE,"Character",NA
"j",1,FALSE,"Character",NA
"u",1,FALSE,"Character",NA
"n",1,FALSE,"Character",NA
"e",1,FALSE,"Character",NA
"retrospective",13,FALSE,"Character",NA
"analysis",8,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"indian",6,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"wins",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"general",7,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"against",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"strengthening",13,FALSE,"Character",NA
"opposition",10,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"india",5,FALSE,"Character",NA
"bloc",4,FALSE,"Character",NA
"by",2,FALSE,"Character",NA
"abdessalam",10,FALSE,"Character",NA
"saad",4,FALSE,"Character",NA
"jaldi",5,FALSE,"Character",NA
"pp",2,FALSE,"Character",NA
"india’s",7,FALSE,"Character",NA
"general",7,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"led",3,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"political",9,FALSE,"Character",NA
"reconfiguration",15,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"unprecedented",13,FALSE,"Character",NA
"magnitude",9,FALSE,"Character",NA
"for",3,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"first",5,FALSE,"Character",NA
"time",4,FALSE,"Character",NA
"since",5,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"that",4,FALSE,"Character",NA
"brought",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"bharatiya",9,FALSE,"Character",NA
"janata",6,FALSE,"Character",NA
"party",5,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"power",5,FALSE,"Character",NA
"prime",5,FALSE,"Character",NA
"minister",8,FALSE,"Character",NA
"narendra",8,FALSE,"Character",NA
"modi",4,FALSE,"Character",NA
"will",4,FALSE,"Character",NA
"preside",7,FALSE,"Character",NA
"over",4,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"rare",4,FALSE,"Character",NA
"third",5,FALSE,"Character",NA
"consecutive",11,FALSE,"Character",NA
"term",4,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"power",5,FALSE,"Character",NA
"making",6,FALSE,"Character",NA
"him",3,FALSE,"Character",NA
"only",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"second",6,FALSE,"Character",NA
"indian",6,FALSE,"Character",NA
"prime",5,FALSE,"Character",NA
"minister",8,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"do",2,FALSE,"Character",NA
"so",2,FALSE,"Character",NA
"after",5,FALSE,"Character",NA
"congress",8,FALSE,"Character",NA
"leader",6,FALSE,"Character",NA
"jawaharlal",10,FALSE,"Character",NA
"nehru",5,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"however",7,FALSE,"Character",NA
"although",8,FALSE,"Character",NA
"modi",4,FALSE,"Character",NA
"has",3,FALSE,"Character",NA
"secured",7,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"third",5,FALSE,"Character",NA
"term",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"failed",6,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"achieve",7,FALSE,"Character",NA
"an",2,FALSE,"Character",NA
"outright",8,FALSE,"Character",NA
"parliamentary",13,FALSE,"Character",NA
"majority",8,FALSE,"Character",NA
"falling",7,FALSE,"Character",NA
"well",4,FALSE,"Character",NA
"short",5,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"its",3,FALSE,"Character",NA
"target",6,FALSE,"Character",NA
"with",4,FALSE,"Character",NA
"coalition",9,FALSE,"Character",NA
"partners",8,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"lower",5,FALSE,"Character",NA
"house",5,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"parliament",10,FALSE,"Character",NA
"while",5,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"will",4,FALSE,"Character",NA
"have",4,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"work",4,FALSE,"Character",NA
"with",4,FALSE,"Character",NA
"its",3,FALSE,"Character",NA
"allies",6,FALSE,"Character",NA
"from",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"nda",3,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"govern",6,FALSE,"Character",NA
"india",5,FALSE,"Character",NA
"for",3,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"next",4,FALSE,"Character",NA
"five",4,FALSE,"Character",NA
"years",5,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"election",8,FALSE,"Character",NA
"results",7,FALSE,"Character",NA
"may",3,FALSE,"Character",NA
"usher",5,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"new",3,FALSE,"Character",NA
"political",9,FALSE,"Character",NA
"cycle",5,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"rivalry",7,FALSE,"Character",NA
"between",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"indian",6,FALSE,"Character",NA
"right",5,FALSE,"Character",NA
"and",3,FALSE,"Character",NA
"left",4,FALSE,"Character",NA
"through",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"prism",5,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"economic",8,FALSE,"Character",NA
"reforms",7,FALSE,"Character",NA
"societal",8,FALSE,"Character",NA
"reforms",7,FALSE,"Character",NA
"and",3,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"new",3,FALSE,"Character",NA
"statute",7,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"india",5,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"global",6,FALSE,"Character",NA
"balances",8,FALSE,"Character",NA
"policy",6,FALSE,"Character",NA
"paper",5,FALSE,"Character",NA
"retrospective",13,FALSE,"Character",NA
"analysis",8,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"indian",6,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"wins",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"general",7,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"against",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"strengthening",13,FALSE,"Character",NA
"opposition",10,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"india",5,FALSE,"Character",NA
"bloc",4,FALSE,"Character",NA
"by",2,FALSE,"Character",NA
"abdessalam",10,FALSE,"Character",NA
"saad",4,FALSE,"Character",NA
"jaldi",5,FALSE,"Character",NA
"retrospective",13,FALSE,"Character",NA
"analysis",8,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"indian",6,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"wins",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"general",7,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"against",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"strengthening",13,FALSE,"Character",NA
"opposition",10,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"india",5,FALSE,"Character",NA
"bloc",4,FALSE,"Character",NA
"introduction",12,FALSE,"Character",NA
"india",5,FALSE,"Character",NA
"went",4,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"polls",5,FALSE,"Character",NA
"from",4,FALSE,"Character",NA
"april",5,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"june",4,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"world’s",7,FALSE,"Character",NA
"largest",7,FALSE,"Character",NA
"electoral",9,FALSE,"Character",NA
"exercise",8,FALSE,"Character",NA
"with",4,FALSE,"Character",NA
"more",4,FALSE,"Character",NA
"than",4,FALSE,"Character",NA
"million",7,FALSE,"Character",NA
"registered",10,FALSE,"Character",NA
"voters",6,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"world’s",7,FALSE,"Character",NA
"most",4,FALSE,"Character",NA
"populous",8,FALSE,"Character",NA
"country",7,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"billion",7,FALSE,"Character",NA
"people",6,FALSE,"Character",NA
"with",4,FALSE,"Character",NA
"all",3,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"million",7,FALSE,"Character",NA
"votes",5,FALSE,"Character",NA
"counted",7,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"turnout",7,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"india’s",7,FALSE,"Character",NA
"general",7,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"led",3,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"political",9,FALSE,"Character",NA
"reconfiguration",15,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"unprecedented",13,FALSE,"Character",NA
"magnitude",9,FALSE,"Character",NA
"for",3,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"first",5,FALSE,"Character",NA
"time",4,FALSE,"Character",NA
"since",5,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"elections",9,FALSE,"Character",NA
"that",4,FALSE,"Character",NA
"brought",7,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"bharatiya",9,FALSE,"Character",NA
"janata",6,FALSE,"Character",NA
"party",5,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"power",5,FALSE,"Character",NA
"prime",5,FALSE,"Character",NA
"minister",8,FALSE,"Character",NA
"narendra",8,FALSE,"Character",NA
"modi",4,FALSE,"Character",NA
"will",4,FALSE,"Character",NA
"preside",7,FALSE,"Character",NA
"over",4,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"rare",4,FALSE,"Character",NA
"third",5,FALSE,"Character",NA
"consecutive",11,FALSE,"Character",NA
"term",4,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"power",5,FALSE,"Character",NA
"making",6,FALSE,"Character",NA
"him",3,FALSE,"Character",NA
"only",4,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"second",6,FALSE,"Character",NA
"indian",6,FALSE,"Character",NA
"prime",5,FALSE,"Character",NA
"minister",8,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"do",2,FALSE,"Character",NA
"so",2,FALSE,"Character",NA
"after",5,FALSE,"Character",NA
"congress",8,FALSE,"Character",NA
"leader",6,FALSE,"Character",NA
"jawaharlal",10,FALSE,"Character",NA
"nehru",5,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"with",4,FALSE,"Character",NA
"all",3,FALSE,"Character",NA
"its",3,FALSE,"Character",NA
"allies",6,FALSE,"Character",NA
"modi’s",6,FALSE,"Character",NA
"ruling",6,FALSE,"Character",NA
"bjp",3,FALSE,"Character",NA
"also",4,FALSE,"Character",NA
"managed",7,FALSE,"Character",NA
"to",2,FALSE,"Character",NA
"secure",6,FALSE,"Character",NA
"a",1,FALSE,"Character",NA
"majority",8,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"seats",5,FALSE,"Character",NA
"in",2,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"lok",3,FALSE,"Character",NA
"sabha",5,FALSE,"Character",NA
"the",3,FALSE,"Character",NA
"seat",4,FALSE,"Character",NA
"lower",5,FALSE,"Character",NA
"house",5,FALSE,"Character",NA
"of",2,FALSE,"Character",NA
"india’s",7,FALSE,"Character",NA
"parliament",10,FALSE,"Character",NA
"under",5,FALSE,"Character",NA
"india’s",7,FALSE,"Character",NA
"electoral",9,FALSE,"Character",NA
