token,sentiment,n
opposition,negative,44
loss,negative,9
shock,negative,8
issues,negative,6
failed,negative,5
fear,negative,5
issue,negative,5
weakening,negative,5
chaotic,negative,4
crisis,negative,4
critical,negative,4
concerns,negative,3
lack,negative,3
limits,negative,3
rhetoric,negative,3
violate,negative,3
backward,negative,2
concern,negative,2
corruption,negative,2
criticized,negative,2
debt,negative,2
difficulties,negative,2
discrimination,negative,2
dispute,negative,2
disputed,negative,2
failure,negative,2
falling,negative,2
hard,negative,2
harsh,negative,2
impose,negative,2
inequality,negative,2
poor,negative,2
rivalry,negative,2
static,negative,2
struggle,negative,2
tank,negative,2
undocumented,negative,2
weaknesses,negative,2
abrupt,negative,1
absence,negative,1
arduous,negative,1
arrogance,negative,1
blow,negative,1
cautionary,negative,1
challenging,negative,1
cheap,negative,1
collapse,negative,1
concerned,negative,1
confined,negative,1
conflict,negative,1
controversial,negative,1
critics,negative,1
declining,negative,1
denies,negative,1
destroy,negative,1
difficult,negative,1
discontent,negative,1
disruption,negative,1
emergency,negative,1
exploitation,negative,1
failing,negative,1
fell,negative,1
fickle,negative,1
figurehead,negative,1
hostile,negative,1
humiliating,negative,1
hurting,negative,1
illegal,negative,1
impediment,negative,1
incompatible,negative,1
insufficient,negative,1
lacks,negative,1
lag,negative,1
leaky,negative,1
liability,negative,1
limitations,negative,1
losses,negative,1
offensive,negative,1
oppose,negative,1
overturn,negative,1
persecution,negative,1
poverty,negative,1
protests,negative,1
resentful,negative,1
resigned,negative,1
risks,negative,1
rocky,negative,1
rumors,negative,1
setbacks,negative,1
sink,negative,1
stark,negative,1
strain,negative,1
strictly,negative,1
struggling,negative,1
suffering,negative,1
temptation,negative,1
tense,negative,1
tout,negative,1
unconstitutional,negative,1
undermine,negative,1
undermined,negative,1
unemployed,negative,1
uneven,negative,1
unexpected,negative,1
unnecessary,negative,1
warned,negative,1
weak,negative,1
weaken,negative,1
worries,negative,1
worry,negative,1
worrying,negative,1
worse,negative,1
