"token","n"
"the",861
"of",397
"in",276
"and",251
"to",243
"a",190
"2024",166
"india",161
"for",115
"indian",90
"bjp",86
"elections",84
"is",84
"that",81
"https",76
"on",76
"party",75
"by",70
"india’s",69
"as",67
"its",65
"has",63
"election",58
"with",56
"modi",55
"policy",49
"opposition",44
"general",43
"june",42
"congress",39
"new",38
"against",36
"analysis",36
"ibid",34
"government",33
"coalition",32
"it",32
"are",31
"center",31
"more",31
"an",30
"have",30
"which",30
"24",28
"from",28
"bloc",27
"foreign",27
"international",27
"not",27
"political",27
"2019",26
"also",26
"at",26
"right",26
"will",26
"2023",25
"economic",25
"global",25
"national",25
"nda",25
"this",25
"1",24
"10",24
"be",23
"strengthening",23
"wins",23
"but",22
"hindu",22
"indias",22
"paper",22
"retrospective",22
"unemployment",22
"was",22
"alliance",21
"development",21
"n",21
"while",21
"left",20
"rate",20
"seats",20
"been",19
"power",19
"south",19
"one",18
"or",18
"they",18
"welfare",18
"article",17
"growth",17
"however",17
"janata",17
"lok",17
"minister",17
"research",17
"africa",16
"modi’s",16
"state",16
"were",16
"dal",15
"economy",15
"electoral",15
"results",15
"these",15
"what",15
"challenges",14
"countries",14
"country",14
"en",14
"milan",14
"muslim",14
"non",14
"other",14
"out",14
"parties",14
"sabha",14
"world",14
"years",14
"12",13
"2014",13
"april",13
"bbc",13
"bjp’s",13
"contest",13
"gandhi",13
"march",13
"narendra",13
"only",13
"relations",13
"result",13
"since",13
"than",13
"two",13
"win",13
"2",12
"after",12
"carnegie",12
"citizenship",12
"constitution",12
"decoding",12
"democracy",12
"endowment",12
"had",12
"prime",12
"priorities",12
"rahul",12
"religious",12
"status",12
"term",12
"their",12
"time",12
"vaishnav",12
"voters",12
"won",12
"14",11
"both",11
"carnegieendowment.org",11
"citizens",11
"december",11
"during",11
"even",11
"he",11
"his",11
"institute",11
"know",11
"lang",11
"may",11
"news",11
"over",11
"peace",11
"people",11
"strategic",11
"united",11
"west",11
"who",11
"3.0",10
"articles",10
"ballot",10
"brics",10
"build",10
"can",10
"delhi",10
"first",10
"furthermore",10
"government’s",10
"into",10
"make",10
"most",10
"online",10
"security",10
"there",10
"06",9
"all",9
"become",9
"between",9
"came",9
"council",9
"country’s",9
"court",9
"de",9
"democratic",9
"free",9
"g20",9
"human",9
"inde",9
"loss",9
"million",9
"no",9
"now",9
"progress",9
"regional",9
"states",9
"strong",9
"such",9
"victory",9
"would",9
"3",8
"4",8
"5",8
"9",8
"about",8
"act",8
"african",8
"amendment",8
"asia",8
"chief",8
"five",8
"gdp",8
"hindus",8
"including",8
"leaders",8
"majority",8
"muslims",8
"nationalist",8
"parliament",8
"partners",8
"point",8
"position",8
"rashtriya",8
"resurgence",8
"second",8
"shock",8
"significant",8
"social",8
"studies",8
"supreme",8
"very",8
"welfarism",8
"why",8
"wing",8
"within",8
"world’s",8
"www.bbc.com",8
"04",7
"2020",7
"400",7
"among",7
"around",7
"back",7
"based",7
"characterized",7
"chatterjee",7
"china",7
"expert",7
"eyes",7
"him",7
"indeed",7
"la",7
"law",7
"manjari",7
"many",7
"members",7
"miller",7
"nationalism",7
"nehru",7
"next",7
"pm",7
"population",7
"pradesh",7
"public",7
"quest",7
"religion",7
"services",7
"stage",7
"superpower",7
"through",7
"trends",7
"under",7
"well",7
"www.cfr.org",7
"134",6
"15",6
"19",6
"20",6
"21",6
"8",6
"any",6
"august",6
"ayodhya",6
"balancing",6
"bangladesh",6
"bharatiya",6
"bill",6
"campaign",6
"continuity",6
"does",6
"east",6
"enlargement",6
"event",6
"food",6
"framework",6
"guarantee",6
"hand",6
"historical",6
"house",6
"housing",6
"index",6
"issues",6
